,Teaching Activities
0,NPE692L - Prac III: NP Ped Prim Cr Resid (Summer Term 2021)  2021
1,NPE692L - Prac III: NP Ped Prim Cr Resid (Summer Term 2021)  2021
2,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2021)  2021
3,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2021)  2021
4,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2020)  2020
5,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2020)  2020
6,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2020)  2020
7,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2020)  2020
8,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2019)  2019
9,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2019)  2019
10,NPE692L - Prac III: NP Ped Prim Cr Resid (Summer Term 2019)  2019
11,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2019)  2019
12,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2018)  2018
13,NPE692L - Prac III: NP Ped Prim Cr Resid (Summer Term 2018)  2018
14,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2018)  2018
15,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2017)  2017
